value	description	codesystem	code	iri
Abdomen	Abdomen	SNOMED_CT	818981001	http://snomed.info/id/818981001
Abdomen and Pelvis	Abdomen and Pelvis	SNOMED_CT	818982008	http://snomed.info/id/818982008
Abdominal aorta	Abdominal aorta	SNOMED_CT	7832008	http://snomed.info/id/7832008
Acromioclavicular joint	Acromioclavicular joint	SNOMED_CT	85856004	http://snomed.info/id/85856004
Adrenal gland	Adrenal gland	SNOMED_CT	23451007	http://snomed.info/id/23451007
Amniotic fluid	Amniotic fluid	SNOMED_CT	77012006	http://snomed.info/id/77012006
Ankle joint	Ankle joint	SNOMED_CT	70258002	http://snomed.info/id/70258002
Anomalous pulmonary vein	Anomalous pulmonary vein	SNOMED_CT	128585006	http://snomed.info/id/128585006
Antecubital vein	Antecubital vein	SNOMED_CT	128553008	http://snomed.info/id/128553008
Anterior cardiac vein	Anterior cardiac vein	SNOMED_CT	194996006	http://snomed.info/id/194996006
Anterior cerebral artery	Anterior cerebral artery	SNOMED_CT	60176003	http://snomed.info/id/60176003
Anterior communicating artery	Anterior communicating artery	SNOMED_CT	8012006	http://snomed.info/id/8012006
Anterior spinal artery	Anterior spinal artery	SNOMED_CT	17388009	http://snomed.info/id/17388009
Anterior tibial artery	Anterior tibial artery	SNOMED_CT	68053000	http://snomed.info/id/68053000
Anus	Anus	SNOMED_CT	53505006	http://snomed.info/id/53505006
Anus, rectum and sigmoid colon	Anus, rectum and sigmoid colon	SNOMED_CT	110612005	http://snomed.info/id/110612005
Aorta	Aorta	SNOMED_CT	15825003	http://snomed.info/id/15825003
Aortic arch	Aortic arch	SNOMED_CT	57034009	http://snomed.info/id/57034009
Aortic fistula	Aortic fistula	SNOMED_CT	128551005	http://snomed.info/id/128551005
Apex of left ventricle	Apex of left ventricle	SNOMED_CT	128564006	http://snomed.info/id/128564006
Apex of Lung	Apex of Lung	SNOMED_CT	86598002	http://snomed.info/id/86598002
Apex of right ventricle	Apex of right ventricle	SNOMED_CT	128565007	http://snomed.info/id/128565007
Appendix	Appendix	SNOMED_CT	66754008	http://snomed.info/id/66754008
Artery	Artery	SNOMED_CT	51114001	http://snomed.info/id/51114001
Ascending aorta	Ascending aorta	SNOMED_CT	54247002	http://snomed.info/id/54247002
Ascending colon	Ascending colon	SNOMED_CT	9040008	http://snomed.info/id/9040008
Atrium	Atrium	SNOMED_CT	59652004	http://snomed.info/id/59652004
Axilla	Axilla	SNOMED_CT	91470000	http://snomed.info/id/91470000
Axillary Artery	Axillary Artery	SNOMED_CT	67937003	http://snomed.info/id/67937003
Axillary vein	Axillary vein	SNOMED_CT	68705008	http://snomed.info/id/68705008
Azygos vein	Azygos vein	SNOMED_CT	72107004	http://snomed.info/id/72107004
Back	Back	SNOMED_CT	77568009	http://snomed.info/id/77568009
Baffle	Baffle	SNOMED_CT	128981007	http://snomed.info/id/128981007
Basilar artery	Basilar artery	SNOMED_CT	59011009	http://snomed.info/id/59011009
